id,name,gender,follower,channel_link,mlb_qty,dx_qty,dv_qty,st_qty,total_qty,total_fee,unit_fee
leanavvab,정리아,여,1472382,https://www.instagram.com/leanavvab,5.0,0.0,0.0,0.0,5,4250000.0,850000
daxbin,김다빈,여,763000,https://www.instagram.com/daxbin,3.0,3.0,0.0,0.0,6,12750000.0,2125000
_seong_hee,위성희,여,684182,https://www.instagram.com/_seong_hee,3.0,0.0,0.0,1.0,4,5400000.0,1350000
___solvely___,한기솔,여,629364,https://www.instagram.com/___solvely___,3.0,0.0,0.0,1.0,4,7200000.0,1800000
dj_siena,박시현,여,626646,https://www.instagram.com/dj_siena,3.0,3.0,0.0,0.0,6,1530000.0,255000
nnin.lna,홍민하,여,622625,https://www.instagram.com/nnin.lna,3.0,0.0,0.0,1.0,4,2160000.0,540000
yoonseo,임윤서,여,592350,https://www.instagram.com/yoonseo,5.0,0.0,0.0,0.0,5,10625000.0,2125000
_seo._.hyuun,임서현,여,520491,https://www.instagram.com/_seo._.hyuun,3.0,0.0,0.0,1.0,4,3600000.0,900000
youra_ch0i,최유라,여,469273,https://www.instagram.com/youra_ch0i,3.0,3.0,0.0,0.0,6,4590000.0,765000
94_j.a,김정아,여,461080,https://www.instagram.com/94_j.a,3.0,0.0,0.0,1.0,4,1800000.0,450000
__jin___jin__,김진희,여,407970,https://www.instagram.com/__jin___jin__,3.0,2.0,0.0,1.0,6,10200000.0,1700000
hyo.ppeu,김효진,여,373112,https://www.instagram.com/hyo.ppeu,3.0,0.0,0.0,1.0,4,2520000.0,630000
hyeon22222222,이정현,여,369130,https://www.instagram.com/hyeon22222222,3.0,3.0,0.0,0.0,6,3570000.0,595000
iamsezero,전세영,여,353317,https://www.instagram.com/iamsezero,5.0,0.0,0.0,0.0,5,5100000.0,1020000
owl_rachel_q.p,김레이첼유리,여,351762,https://www.instagram.com/owl_rachel_q.p,5.0,0.0,0.0,0.0,5,4250000.0,850000
hellosaeeun,김새은,여,339447,https://www.instagram.com/hellosaeeun,5.0,0.0,0.0,0.0,5,7650000.0,1530000
comme_de_x,김정서,여,320746,https://www.instagram.com/comme_de_x,5.0,0.0,0.0,0.0,5,1700000.0,340000
juuuhana,이주원,여,306329,https://www.instagram.com/juuuhana,5.0,0.0,0.0,0.0,5,6375000.0,1275000
0ki0h,류영하,여,306000,https://www.instagram.com/0ki0h,5.0,0.0,0.0,0.0,5,4250000.0,850000
gxlxae,양가은,여,303657,https://www.instagram.com/gxlxae,3.0,3.0,1.0,1.0,8,8512000.0,1064000
__ryeong,김진령,여,295739,https://www.instagram.com/__ryeong,5.0,0.0,0.0,0.0,5,10625000.0,2125000
redlic_haeun95,레드릭,여,284372,https://www.instagram.com/redlic_haeun95,5.0,0.0,0.0,0.0,5,1700000.0,340000
yxuuzx,조유주,여,276007,https://www.instagram.com/yxuuzx,3.0,2.0,0.0,1.0,6,3570000.0,595000
juu__love9,이주희,여,262477,https://www.instagram.com/juu__love9,3.0,2.0,0.0,1.0,6,2550000.0,425000
hyemmm1,송혜미,여,259595,https://www.instagram.com/hyemmm1,3.0,2.0,0.0,1.0,6,3060000.0,510000
luv_jayne,김정은,여,252725,https://www.instagram.com/luv_jayne,3.0,3.0,0.0,0.0,6,7650000.0,1275000
eun31_ch,이은채,여,251639,https://www.instagram.com/eun31_ch,3.0,2.0,0.0,1.0,6,7140000.0,1190000
dpwls2da,권예진,여,245785,https://www.instagram.com/dpwls2da,3.0,3.0,1.0,1.0,8,1600000.0,200000
364d_,박규언,여,245333,https://www.instagram.com/364d_,5.0,0.0,0.0,0.0,5,5100000.0,1020000
jungha.0,정하영,여,234363,https://www.instagram.com/jungha.0,3.0,3.0,1.0,1.0,8,9600000.0,1200000
neul_e_.nong,유하늘,여,231645,https://www.instagram.com/neul_e_.nong,5.0,0.0,0.0,0.0,5,4250000.0,850000
